manifest_id,doc_id,source_domain,event_published_at,event_ts_hour,title,generated_on
13,ZZM_CN_6bb9b0ea70e4,zzmetro.cn,2025-01-20 10:28:00,2025-01-20 10:00:00,地铁乘客开票升级切换至数电发票 为响应“金税四期”数电发票推广要求，郑州交通发展投资集团有限公司（以下简称郑州交发集团）作为重要试点单位启动数电发票系统建设，并于近日顺利完成上线切换，实现从税控发票到数电发票的平稳过渡、快速升级。... 为响应“金税四期”数电发票推广要求，郑州交通发展投资集团有限公司（以下简称郑州交发集团）作为重要试点单位启动数电发票系统建设，并于近日顺利完成上线切换，实现从税控,2025-12-24
14,ZZM_CN_ebe49d9686f7,zzmetro.cn,2025-01-01 10:00:00,2025-01-01 10:00:00,427.95万人次！2025年郑州地铁第一张成绩单来啦！ 2024年12月31日，郑州地铁线网日客运量达427.95万人次，再创单日客运量历史新高！交出2025年第一张成绩单！... 2024年12月31日，郑州地铁线网日客运量达427.95万人次，再创单日客运量历史新高！交出2025年第一张成绩单！,2025-12-24
15,ZZM_CN_cf9bee9ac7a7,zzmetro.cn,2024-12-31 15:10:00,2024-12-31 15:00:00,郑州上海地铁乘车码实现互联互通 日前，郑州地铁“商易行”APP与上海地铁轨道交通出行二维码正式实现跨区域互联互通，使用商易行APP的郑州市民可以在上海地铁直接扫码进出。... 日前，郑州地铁“商易行”APP与上海地铁轨道交通出行二维码正式实现跨区域互联互通，使用商易行APP的郑州市民可以在上海地铁直接扫码进出。,2025-12-24
16,ZZM_CN_24b6f9328e07,zzmetro.cn,2024-12-30 16:21:00,2024-12-30 16:00:00,郑州市轨道交通6、7、8号线正式开通 12月29日上午，郑州市轨道交通6号线一期东北段、7号线一期、8号线一期正式开通，标志着我市轨道交通运营里程跻身全国城市前10位、迈入世界级地铁城市行列。省委常委、常务副省长孙守刚宣布3条线路开通运营，省委常委、市委书记安伟致辞。... 12月29日上午，郑州市轨道交通6号线一期东北段、7号线一期、8号线一期正式开通，标志着我市轨道交通运营里程跻身全国城市前1,2025-12-24
17,ZZM_CN_243836a79357,zzmetro.cn,2024-12-29 13:32:00,2024-12-29 13:00:00,郑州交通发展投资集团有限公司揭牌成立 12月29日，郑州交通发展投资集团有限公司揭牌仪式举行，市长何雄出席并为企业揭牌。... 12月29日，郑州交通发展投资集团有限公司揭牌仪式举行，市长何雄出席并为企业揭牌。,2025-12-24
18,ZZM_CN_9bc6427bda69,zzmetro.cn,2024-12-28 12:28:00,2024-12-28 12:00:00,郑州市轨道交通7号线一期、8号线一期明日正式开通 12月29日10点16分，郑州市轨道交通7号线一期、8号线一期正式开通。... 12月29日10点16分，郑州市轨道交通7号线一期、8号线一期正式开通。,2025-12-24
19,ZZM_CN_281c692893b5,zzmetro.cn,2024-12-23 17:04:00,2024-12-23 17:00:00,河南首个“郑州地铁每日客流量数据”在郑州数据交易中心登记挂牌 近日，郑州地铁集团有限公司（以下简称郑州地铁）首款数据产品——“郑州地铁每日客流量数据”在郑州数据交易中心登记挂牌。据悉，这是河南省首款城市轨道交通数据产品登记凭证。... 近日，郑州地铁集团有限公司（以下简称郑州地铁）首款数据产品——“郑州地铁每日客流量数据”在郑州数据交易中心登记挂牌。据悉，这是河南省首款城市轨道交通数据产品登记凭证,2025-12-24
20,ZZM_CN_0af7c48fb6eb,zzmetro.cn,2024-11-29 15:00:00,2024-11-29 15:00:00,“6”光溢彩 魅力绽放 郑州地铁6号线一期东北段初期运营 11月30日10点06分，郑州地铁6号线一期东北段初期运营，6号线一期全线贯通实现初期运营。... 11月30日10点06分，郑州地铁6号线一期东北段初期运营，6号线一期全线贯通实现初期运营。,2025-12-24
21,ZZM_CN_574ae8114586,zzmetro.cn,2024-11-11 16:33:00,2024-11-11 16:00:00,公司党委召开省委巡视上下联动国资国企问题专项巡察整改专题民主生活会 按照巡察整改工作要求，11月11日，公司党委召开省委巡视上下联动国资国企问题专项巡察整改专题民主生活会，深入学习贯彻习近平总书记关于巡视工作的重要论述精神，对照市委第二巡察组巡察郑州地铁集团党委反馈意见，系统查摆问题，深刻剖析根源，严肃开展批评和自我批评，进一步压实巡察整改主体责任，以高标准巡察整改推动轨道交通事业高质量发展。公司,2025-12-24
22,ZZM_CN_c7d6f08ab9db,zzmetro.cn,2024-10-25 18:38:00,2024-10-25 18:00:00,中共郑州地铁集团有限公司委员会召开巡察整改专题民主生活会 根据十二届市委第六轮巡察整改工作部署，10月25日，公司党委召开巡察整改专题民主生活会，深入学习贯彻习近平总书记关于巡视工作重要论述精神，全面对照市委巡察反馈意见，深刻查摆剖析，严肃开展批评和自我批评，进一步压实巡察整改主体责任，以高标准巡察整改推动轨道交通事业高质量发展。公司党委书记、董事长徐汉甫主持会议并作总结。市纪委监委、市委组织部、,2025-12-24
23,ZZM_CN_9f81ba50bf44,zzmetro.cn,2024-09-12 16:48:00,2024-09-12 16:00:00,郑州市轨道交通7号线一期工程顺利通过项目工程验收 2024年9月12日，郑州地铁集团有限公司组织召开了郑州市轨道交通7号线一期工程项目工程验收会议，工程顺利通过验收，即将进入全线空载试运行阶段。... 2024年9月12日，郑州地铁集团有限公司组织召开了郑州市轨道交通7号线一期工程项目工程验收会议，工程顺利通过验收，即将进入全线空载试运行阶段。,2025-12-24
24,ZZM_CN_c3475c753d0a,zzmetro.cn,2024-09-05 00:00:00,2024-09-05 00:00:00,郑州市轨道交通7号线一期工程顺利完成热滑试验 9月5日，7号线一期工程顺利完成全线接触网热滑试验，即将进入动车调试阶段，为后续联调联试及空载试运行奠定了坚实基础。... 9月5日，7号线一期工程顺利完成全线接触网热滑试验，即将进入动车调试阶段，为后续联调联试及空载试运行奠定了坚实基础。,2025-12-24
25,ZZM_CN_975dfb297227,zzmetro.cn,2024-08-26 10:35:00,2024-08-26 10:00:00,2024-08-26 管理员 6493 公司党委党建品牌案例成功入选“2024年度全国企业党建创新优秀案例” 近日，2024全国企业党建（案例）研讨会暨第四届企业党建创新优秀案例发布仪式在北京成功举办。郑州地铁集团有限公司党委党建品牌案例《党建引领育能工巧匠 精检细修耀绿城星火》成功入选“2024年度全国企业党建创新优秀案例”，党建品牌“绿城星火”在全国企业党建工作中再获殊荣。... 近日，202,2025-12-24
26,ZZM_CN_edf7408fd3b0,zzmetro.cn,2024-08-13 11:52:00,2024-08-13 11:00:00,郑州市轨道交通8号线一期今日起空载试运行 8月13日，随着造型沉稳、独具特色的橙色列车从梧桐街停车场出发，向鲁庙站方向驶去，标志着郑州市轨道交通8号线一期工程正式进入空载试运行阶段。,2025-12-24
27,ZZM_CN_bcb611a9d05f,zzmetro.cn,2024-07-31 17:41:00,2024-07-31 17:00:00,郑州地铁6号线一期工程东北段、7号线一期工程荣获5项河南省优质结构工程奖 7月底，郑州地铁6号线一期工程东北段、郑州地铁7号线一期工程共5个标段荣获河南省优质结构工程奖。... 7月底，郑州地铁6号线一期工程东北段、郑州地铁7号线一期工程共5个标段荣获河南省优质结构工程奖。,2025-12-24
