doc_id,line,confidence,match_rule,evidence_span
ZZM_CN_457d2cff8e93,1号线,0.35,line_mention,1号线
ZZM_CN_41e341b4471b,2号线,0.35,line_mention,2号线
ZZM_CN_99dc780470eb,1号线,0.35,line_mention,1号线
ZZM_CN_5cf23f8ba5bd,2号线,0.35,line_mention,2号线
ZZM_CN_c85037896f81,1号线,0.35,line_mention,1号线
ZZM_CN_6890c07f0746,1号线,0.35,line_mention,1号线
ZZM_CN_2ff007ceb7df,1号线,0.35,line_mention,1号线
ZZM_CN_ff52240b0945,1号线,0.35,line_mention,1号线
ZZM_CN_ec4da00219b6,2号线,0.35,line_mention,2号线
ZZM_CN_4c0255acd562,1号线,0.35,line_mention,1号线
ZZM_CN_6e48fe2770a5,1号线,0.35,line_mention,1号线
ZZM_CN_160b34833970,1号线,0.35,line_mention,1号线
ZZM_CN_a0d221352028,1号线,0.35,line_mention,1号线
ZZM_CN_8683f6a9adb7,1号线,0.35,line_mention,1号线
ZZM_CN_335c520241b3,2号线,0.35,line_mention,2号线
ZZM_CN_972364b79a64,1号线,0.35,line_mention,1号线
ZZM_CN_a7d93e6e6d9b,2号线,0.35,line_mention,2号线
ZZM_CN_63b596e94608,2号线,0.35,line_mention,2号线
ZZM_CN_231b2a7ff3b9,1号线,0.35,line_mention,1号线
ZZM_CN_c0e4ce399cac,2号线,0.35,line_mention,2号线
ZZM_CN_933e316a5a68,1号线,0.35,line_mention,1号线
ZZM_CN_425018fd42b5,1号线,0.35,line_mention,1号线
ZZM_CN_d05b651df386,2号线,0.35,line_mention,2号线
ZZM_CN_5909c542b659,1号线,0.35,line_mention,1号线
ZZM_CN_3a3dd8a5572d,1号线,0.35,line_mention,1号线
ZZM_CN_ee7d42c45185,1号线,0.35,line_mention,1号线
ZZM_CN_960e1e8a1f8e,2号线,0.35,line_mention,2号线
ZZM_CN_871e8a27f44f,1号线,0.35,line_mention,1号线
ZZM_CN_dcc3349d2085,1号线,0.35,line_mention,1号线
ZZM_CN_3a63dca3dfb9,1号线,0.35,line_mention,1号线
ZZM_CN_c5deeab2318d,1号线,0.35,line_mention,1号线
ZZM_CN_0fda20b3e3eb,1号线,0.35,line_mention,1号线
ZZM_CN_7dca6dae9591,1号线,0.35,line_mention,1号线
ZZM_CN_1df6012afa5d,1号线,0.35,line_mention,1号线
ZZM_CN_7c4adf932fd5,2号线,0.35,line_mention,2号线
ZZM_CN_dc4db29fbc7a,2号线,0.35,line_mention,2号线
ZZM_CN_4e83e9d500da,4号线,0.35,line_mention,4号线
ZZM_CN_3dec2b3d4550,1号线,0.35,line_mention,1号线
ZZM_CN_6c4e03c4239e,1号线,0.35,line_mention,1号线
ZZM_CN_12bfc3e83924,1号线,0.35,line_mention,1号线
ZZM_CN_50bf7e54fdc7,1号线,0.35,line_mention,1号线
ZZM_CN_8cbf53560cba,1号线,0.35,line_mention,1号线
ZZM_CN_9ef849137bdd,1号线,0.35,line_mention,1号线
ZZM_CN_38f69b53e48b,2号线,0.35,line_mention,2号线
ZZM_CN_38f69b53e48b,5号线,0.35,line_mention,5号线
ZZM_CN_7f87605fd559,1号线,0.35,line_mention,1号线
ZZM_COM_df3faf705bfa,4号线,0.35,line_mention,4号线
ZZM_COM_df3faf705bfa,5号线,0.35,line_mention,5号线
ZZM_COM_27133e985dc7,2号线,0.35,line_mention,2号线
ZZM_COM_5361f9ca4fd5,5号线,0.35,line_mention,5号线
ZZM_COM_a1ebfd664560,5号线,0.35,line_mention,5号线
ZZM_COM_ebb1dd160bf2,2号线,0.35,line_mention,2号线
ZZM_COM_1c6442de5efe,2号线,0.35,line_mention,2号线
ZZM_COM_1c6442de5efe,城郊线,0.35,line_mention,城郊线
ZZM_COM_b14412309d9d,1号线,0.35,line_mention,1号线
ZZM_COM_d0539bec4223,1号线,0.35,line_mention,1号线
ZZM_COM_a421561e0992,1号线,0.35,line_mention,1号线
ZZM_COM_950dafa8e45c,1号线,0.35,line_mention,1号线
ZZM_COM_9b83c83d6c8d,1号线,0.35,line_mention,1号线
