doc_id,station_id,station_name,confidence,match_rule,evidence_span,event_label,event_label_name,event_severity,event_line_mentions
ZZM_CN_03beed17e6b5,ZZS_136c32a256,市中心医院,0.35,line_propagated,10号线,0,normal_info,0,10号线
ZZM_CN_03beed17e6b5,ZZS_193238e3af,李商隐公园,0.35,line_propagated,10号线,0,normal_info,0,10号线
ZZM_CN_03beed17e6b5,ZZS_3813354d55,绿城广场,0.35,line_propagated,10号线,0,normal_info,0,10号线
ZZM_CN_03beed17e6b5,ZZS_5925b9eaa7,柳湖,0.35,line_propagated,10号线,0,normal_info,0,10号线
ZZM_CN_03beed17e6b5,ZZS_6497dca4fb,庙王,0.35,line_propagated,10号线,0,normal_info,0,10号线
ZZM_CN_03beed17e6b5,ZZS_6f9fa1c519,西流湖公园南,0.35,line_propagated,10号线,0,normal_info,0,10号线
ZZM_CN_03beed17e6b5,ZZS_8b4f322227,郑州一中,0.35,line_propagated,10号线,0,normal_info,0,10号线
ZZM_CN_03beed17e6b5,ZZS_90196f31d6,郑州火车站,0.35,line_propagated,10号线,0,normal_info,0,10号线
ZZM_CN_03beed17e6b5,ZZS_90377f53c5,二砂,0.35,line_propagated,10号线,0,normal_info,0,10号线
ZZM_CN_03beed17e6b5,ZZS_9d546847d5,郑州西站,0.35,line_propagated,10号线,0,normal_info,0,10号线
ZZM_CN_03beed17e6b5,ZZS_c9109d3d9f,医学院,0.35,line_propagated,10号线,0,normal_info,0,10号线
ZZM_CN_03beed17e6b5,ZZS_f453749a84,市委党校,0.35,line_propagated,10号线,0,normal_info,0,10号线
ZZM_CN_05898810f2b8,ZZS_047175b6e2,老鸦陈,0.35,line_propagated,4号线,0,normal_info,0,4号线
ZZM_CN_05898810f2b8,ZZS_06c5d1c11c,商鼎路,0.35,line_propagated,4号线,0,normal_info,0,4号线
ZZM_CN_05898810f2b8,ZZS_1236ed80e3,中央商务区,0.35,line_propagated,4号线,0,normal_info,0,4号线
ZZM_CN_05898810f2b8,ZZS_184971fb41,郎庄,0.35,line_propagated,4号线,0,normal_info,0,4号线
ZZM_CN_05898810f2b8,ZZS_1acd4fa835,金岱,0.35,line_propagated,4号线,0,normal_info,0,4号线
ZZM_CN_05898810f2b8,ZZS_1e911360df,姚庄,0.35,line_propagated,4号线,0,normal_info,0,4号线
ZZM_CN_05898810f2b8,ZZS_25a4eab92b,龙湖南,0.35,line_propagated,4号线,0,normal_info,0,4号线
ZZM_CN_05898810f2b8,ZZS_28ee7061d7,东十里铺,0.35,line_propagated,4号线,0,normal_info,0,4号线
ZZM_CN_05898810f2b8,ZZS_3546d6d127,丰庆路,0.35,line_propagated,4号线,0,normal_info,0,4号线
ZZM_CN_05898810f2b8,ZZS_45679e4fc0,七里河,0.35,line_propagated,4号线,0,normal_info,0,4号线
ZZM_CN_05898810f2b8,ZZS_542d10f6f0,金融岛北,0.35,line_propagated,4号线,0,normal_info,0,4号线
